name,x,y,z,rx,ry,rz
TR1_BTM,-442.996,-145.532,34.995,-180.000,-0.002,90.001
TR1_TOP,-443.004,-145.522,87.000,179.999,-0.001,89.999
TR1_TOP_LAST_COL,-274.251,-145.531,87.000,179.999,0.000,89.998
TR1_TOP_LAST,-274.252,51.282,87.003,180.000,0.000,89.999
TR1_TOP_LAST_ROW,-443.015,51.295,87.008,-179.999,-0.000,89.999
TR1_TOP_OUT,-227.242,-155.675,264.249,-177.888,0.119,135.546
TR2_APP,260.684,-179.038,206.758,-178.217,-0.609,-115.833
TR2_BTM,443.006,79.006,57,-179.999,0.000,-90.000
TR2_LAST,272.998,-149.004,57,-179.999,0.002,-90.001
TR2_LAST_ROW,441.002,-149.005,57,-179.999,0.001,-90.000
TEST_APP,18.508,238.001,199.998,178.400,2.183,-1.485
TEST_RELEASE,18.513,238.008,50,178.401,2.183,-1.486
TEST,18.516,238.005,38.002,178.401,2.183,-1.487
TR1_LIFT,-330.491,-30.497,79.997,-180.000,-0.001,0.000
TR1_PICK,-330.500,-30.496,59.999,179.999,0.001,-0.001
TR2_PLACE,328.458,-36.595,60.485,-179.969,0.007,-179.988
TR2_LIFT,328.456,-36.604,100.001,-179.968,0.008,-179.988
